timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1789160068.505101,-39.297000435381136,-22.45055414445789,7.536609565533382,-4.210876563833402,-22.213946457162706,-17.098589919201252,17.168069755191624,-21.11404838668178,31.488857561665665,-84.31176821829695,2.551897022422592,-34.20150983267413,-13.193014751110026,-0.3648226724071142,116.18317533937017,64.37458847300418
1789160068.512316,-51.084672125899246,-26.42853640425894,0.3852714275067566,1.3394878268555868,-24.963126838282278,-28.90486819174591,11.02555601514208,-25.352252799214018,8.254155746897574,-76.43187170942439,-20.486416568575827,-6.888216854740406,9.425987011711662,1.4962422498542782,104.56871700227406,75.86243536749248
1789160068.516313,-43.76096742001745,-37.15045176849293,-6.156262982927988,-12.332294196072205,-18.97463318069198,-21.8845168991051,4.485811866401669,-39.56433440848187,-43.97834087503798,-40.7641409919898,-28.8066369152632,4.347587293994028,17.56125764300493,10.251306849188197,78.5957284366583,53.56341572703842
1789160068.520313,-23.65574342060043,-47.053436234385266,-6.764712720097746,-35.38934652079223,-5.921959490342196,-2.046129087132737,2.7258032407561448,-57.88014961418493,-86.46832520441443,-1.7352075191613991,-15.19801095523872,-7.588724832999839,4.270411914860716,18.39147336086436,55.572573945527594,13.866318587147944
1789160068.524314,-6.436240781251229,-54.46192075585997,-2.4927745261922354,-55.045093944144426,5.8174235926808535,15.429290226388623,5.4238623245529,-70.11946338731755,-95.19240399649581,15.678129372128708,8.47238206688801,-29.096343428905076,-18.48872429858227,17.654265452109147,46.143662554592865,-9.66874248564779
1789160068.528307,2.9055749008680607,-57.840887101894,6.53775120428854,-59.90300815009543,13.054598856321022,25.40739174037857,13.076525010354413,-68.9168192595736,-76.25697266803621,2.7429970212729486,21.283783391473722,-37.684849380544264,-29.793358199131326,9.486804137313047,48.36268421412726,1.4556512531266783
1789160068.532308,8.596212877185515,-56.259566199337804,14.567278159157954,-47.56850703677049,15.666893857957188,31.446418190139752,20.236145245586805,-54.931249316911554,-49.28809015765371,-33.70402478541319,9.35466044593994,-20.091062736927555,-16.990953367051734,1.4484085423628308,56.438657423504466,37.63135132120203
1789160068.536305,12.690530254168324,-57.18240712922121,10.863853685694444,-31.251695548700596,11.292738081483861,35.224550591024816,16.588810825799108,-39.639005738766656,-28.648219042096528,-71.87280767283437,-18.811545533823033,10.126690985157339,7.408839011701907,-0.7146410400480869,62.93533074257468,64.50404245912448
1789160068.540307,13.451152619971976,-72.06162575798513,-2.6460814013604885,-27.087045627194158,2.9774255945731767,35.32312005597609,3.134588035139444,-36.76422790215687,-14.980651385964407,-86.83621303588698,-38.51214837796827,23.185444220001017,15.5812369030793,3.982545474757784,59.551783802806156,50.09380637256099
1789160068.544307,7.979172627035519,-99.54424410575928,-9.871257038542142,-34.171851113698516,2.299276795063392,29.41716405144354,-9.005483865277132,-46.670135214425564,5.5122653912035915,-77.55892256761011,-34.50721147867336,10.101709485682305,-2.339388353924435,9.94451624606761,49.02830286784682,3.3281639223325286
